%Time  SineCmd  SquareCmd  StepCmd  RampCmd  Feedback  Current  Velocity
0.00   0.00     1.00      0.00     0.00     0.02      0.10     0.00
0.05   0.31     1.00      0.00     0.05     0.28      0.12     0.03
0.10   0.59     1.00      0.00     0.10     0.55      0.15     0.08
0.15   0.81     1.00      0.00     0.15     0.78      0.18     0.12
0.20   0.95     1.00      0.00     0.20     0.91      0.22     0.18
0.25   1.00     1.00      0.00     0.25     0.97      0.25     0.25
0.30   0.95     1.00      0.00     0.30     0.93      0.28     0.31
0.35   0.81     1.00      0.00     0.35     0.79      0.32     0.38
0.40   0.59     1.00      0.00     0.40     0.58      0.35     0.44
0.45   0.31     1.00      0.00     0.45     0.30      0.37     0.49
0.50   0.00    -1.00      1.00     0.50     0.02      0.40     0.52
0.55  -0.31    -1.00      1.00     0.55    -0.29      0.38     0.50
0.60  -0.59    -1.00      1.00     0.60    -0.57      0.36     0.46
0.65  -0.81    -1.00      1.00     0.65    -0.80      0.34     0.40
0.70  -0.95    -1.00      1.00     0.70    -0.92      0.30     0.33
0.75  -1.00    -1.00      1.00     0.75    -0.98      0.28     0.26
0.80  -0.95    -1.00      1.00     0.80    -0.94      0.25     0.20
0.85  -0.81    -1.00      1.00     0.85    -0.82      0.22     0.15
0.90  -0.59    -1.00      1.00     0.90    -0.60      0.18     0.10
0.95  -0.31    -1.00      1.00     0.95    -0.33      0.15     0.05
1.00   0.00     1.00      1.00     1.00     0.01      0.12     0.00
1.05   0.31     1.00      1.00     1.05     0.30      0.14     0.04
1.10   0.59     1.00      1.00     1.10     0.56      0.18     0.09
1.15   0.81     1.00      1.00     1.15     0.79      0.21     0.15
1.20   0.95     1.00      1.00     1.20     0.92      0.24     0.22
1.25   1.00     1.00      1.00     1.25     0.98      0.27     0.30
1.30   0.95     1.00      1.00     1.30     0.93      0.31     0.38
1.35   0.81     1.00      1.00     1.35     0.80      0.34     0.45
1.40   0.59     1.00      1.00     1.40     0.58      0.36     0.50
1.45   0.31     1.00      1.00     1.45     0.32      0.38     0.54
1.50   0.00    -1.00      1.00     1.50     0.03      0.40     0.57
